t_epoch,topic,value
1786391897.488107,/costmap_app/stop_active,False
1786391897.510640,/costmap_app/obstacle_detected,False
1786391897.511927,monitor_status,CLEAR|window_clear|FUSION_ACTIVE|depth_age=0.040
1786391897.514928,/cmd_vel,0.0000
1786391897.567115,/cmd_vel,0.0000
1786391897.588324,/costmap_app/stop_active,False
1786391897.614603,/cmd_vel,0.0000
1786391897.659220,/costmap_app/obstacle_detected,False
1786391897.664928,/cmd_vel,0.0000
1786391897.688317,/costmap_app/stop_active,False
1786391897.707484,monitor_status,CLEAR|window_clear|FUSION_ACTIVE|depth_age=0.030
1786391897.716460,/cmd_vel,0.0000
1786391897.762644,/costmap_app/obstacle_detected,False
1786391897.765792,/cmd_vel,0.0000
1786391897.788806,/costmap_app/stop_active,False
1786391897.818071,/cmd_vel,0.0000
1786391897.866229,/cmd_vel,0.0000
1786391897.889270,/costmap_app/stop_active,False
1786391897.909555,monitor_status,CLEAR|window_clear|FUSION_ACTIVE|depth_age=0.010
1786391897.918386,/cmd_vel,0.0000
1786391897.964605,/cmd_vel,0.0000
1786391897.964628,/costmap_app/obstacle_detected,False
1786391897.989555,/costmap_app/stop_active,False
1786391898.015727,/cmd_vel,0.0000
1786391898.064551,/cmd_vel,0.0000
1786391898.090064,/costmap_app/stop_active,False
1786391898.108593,monitor_status,CLEAR|window_clear|FUSION_ACTIVE|depth_age=0.008
1786391898.118631,/cmd_vel,0.0000
1786391898.167074,/cmd_vel,0.0000
1786391898.190416,/costmap_app/stop_active,False
1786391898.211067,/costmap_app/obstacle_detected,False
1786391898.218195,/cmd_vel,0.0000
1786391898.264831,/cmd_vel,0.0000
1786391898.290797,/costmap_app/stop_active,False
1786391898.307508,monitor_status,CLEAR|window_clear|FUSION_ACTIVE|depth_age=0.011
1786391898.314386,/cmd_vel,0.0000
1786391898.367421,/cmd_vel,0.0000
1786391898.374119,/costmap_app/obstacle_detected,False
1786391898.388711,/costmap_app/stop_active,False
1786391898.415486,/cmd_vel,0.0000
1786391898.460363,/costmap_app/obstacle_detected,False
1786391898.464202,/cmd_vel,0.0000
1786391898.488208,/costmap_app/stop_active,False
1786391898.511605,monitor_status,CLEAR|window_clear|FUSION_ACTIVE|depth_age=0.002
1786391898.516124,/cmd_vel,0.0000
1786391898.564210,/cmd_vel,0.0000
1786391898.589243,/costmap_app/stop_active,False
1786391898.618013,/cmd_vel,0.0000
1786391898.658578,/costmap_app/obstacle_detected,False
1786391898.667751,/cmd_vel,0.0000
1786391898.691204,/costmap_app/stop_active,False
1786391898.708726,monitor_status,CLEAR|window_clear|FUSION_ACTIVE|depth_age=0.004
1786391898.715665,/cmd_vel,0.0000
1786391898.765504,/cmd_vel,0.0000
1786391898.789560,/costmap_app/stop_active,False
1786391898.818529,/cmd_vel,0.0000
1786391898.859793,/costmap_app/obstacle_detected,False
1786391898.866078,/cmd_vel,0.0000
1786391898.889552,/costmap_app/stop_active,False
1786391898.915586,/cmd_vel,0.0000
1786391898.915612,monitor_status,CLEAR|window_clear|FUSION_ACTIVE|depth_age=0.061
1786391898.961384,/costmap_app/obstacle_detected,False
1786391898.966649,/cmd_vel,0.0000
1786391898.994052,/costmap_app/stop_active,False
1786391899.014665,/cmd_vel,0.0000
1786391899.063005,/costmap_app/obstacle_detected,False
1786391899.068155,/cmd_vel,0.0000
1786391899.090176,/costmap_app/stop_active,False
1786391899.113431,monitor_status,CLEAR|window_clear|FUSION_ACTIVE|depth_age=0.045
1786391899.114753,/cmd_vel,0.0000
1786391899.165827,/cmd_vel,0.0000
1786391899.188803,/costmap_app/stop_active,False
1786391899.214805,/cmd_vel,0.0000
1786391899.260651,/costmap_app/obstacle_detected,False
1786391899.264289,/cmd_vel,0.0000
1786391899.293099,/costmap_app/stop_active,False
1786391899.308829,monitor_status,CLEAR|window_clear|FUSION_ACTIVE|depth_age=0.026
1786391899.315462,/cmd_vel,0.0000
1786391899.364263,/cmd_vel,0.0000
1786391899.371908,/costmap_app/obstacle_detected,False
1786391899.389208,/costmap_app/stop_active,False
1786391899.414682,/cmd_vel,0.0000
1786391899.458215,/costmap_app/obstacle_detected,False
1786391899.467093,/cmd_vel,0.0000
1786391899.491473,/costmap_app/stop_active,False
1786391899.508965,monitor_status,CLEAR|window_clear|FUSION_ACTIVE|depth_age=0.008
1786391899.514297,/cmd_vel,0.0000
1786391899.568650,/cmd_vel,0.0000
1786391899.588306,/costmap_app/stop_active,False
1786391899.610825,/costmap_app/obstacle_detected,False
1786391899.617471,/cmd_vel,0.0000
1786391899.658100,/costmap_app/obstacle_detected,False
1786391899.667219,/cmd_vel,0.0000
1786391899.687950,/costmap_app/stop_active,False
1786391899.708383,monitor_status,CLEAR|window_clear|FUSION_ACTIVE|depth_age=0.005
1786391899.717795,/cmd_vel,0.0000
1786391899.766602,/cmd_vel,0.0000
1786391899.788171,/costmap_app/stop_active,False
1786391899.814565,/cmd_vel,0.0000
1786391899.864504,/cmd_vel,0.0000
1786391899.889270,/costmap_app/stop_active,False
1786391899.911858,/costmap_app/obstacle_detected,False
1786391899.912403,monitor_status,CLEAR|window_clear|FUSION_ACTIVE|depth_age=0.012
1786391899.914338,/cmd_vel,0.0000
1786391899.971208,/cmd_vel,0.0000
1786391899.988471,/costmap_app/stop_active,False
1786391900.014598,/cmd_vel,0.0000
1786391900.058344,/costmap_app/obstacle_detected,False
1786391900.066744,/cmd_vel,0.0000
1786391900.093034,/costmap_app/stop_active,False
1786391900.114582,monitor_status,CLEAR|window_clear|FUSION_ACTIVE|depth_age=0.068
1786391900.118841,/cmd_vel,0.0000
1786391900.164824,/cmd_vel,0.0000
1786391900.188781,/costmap_app/stop_active,False
1786391900.214334,/cmd_vel,0.0000
1786391900.258322,/costmap_app/obstacle_detected,False
1786391900.264242,/cmd_vel,0.0000
1786391900.290123,/costmap_app/stop_active,False
1786391900.311019,monitor_status,CLEAR|window_clear|FUSION_ACTIVE|depth_age=0.018
1786391900.316392,/cmd_vel,0.0000
1786391900.366220,/cmd_vel,0.0000
1786391900.366265,/costmap_app/obstacle_detected,False
1786391900.388631,/costmap_app/stop_active,False
1786391900.416644,/cmd_vel,0.0000
1786391900.465603,/cmd_vel,0.0000
1786391900.494867,/costmap_app/stop_active,False
1786391900.507650,monitor_status,CLEAR|window_clear|FUSION_ACTIVE|depth_age=0.017
1786391900.514473,/cmd_vel,0.0000
1786391900.564615,/costmap_app/obstacle_detected,False
1786391900.565117,/cmd_vel,0.0000
1786391900.587726,/costmap_app/stop_active,False
1786391900.615137,/cmd_vel,0.0000
1786391900.665707,/cmd_vel,0.0000
1786391900.687707,/costmap_app/stop_active,False
1786391900.708184,monitor_status,CLEAR|window_clear|FUSION_ACTIVE|depth_age=0.014
1786391900.714150,/cmd_vel,0.0000
1786391900.764625,/cmd_vel,0.0000
1786391900.787708,/costmap_app/stop_active,False
1786391900.808929,/costmap_app/obstacle_detected,False
1786391900.815364,/cmd_vel,0.0000
1786391900.858108,/costmap_app/obstacle_detected,False
1786391900.868228,/cmd_vel,0.0000
1786391900.888879,/costmap_app/stop_active,False
1786391900.910608,monitor_status,CLEAR|window_clear|FUSION_ACTIVE|depth_age=0.015
1786391900.914292,/cmd_vel,0.0000
1786391900.961350,/costmap_app/obstacle_detected,False
1786391900.965297,/cmd_vel,0.0000
1786391900.988399,/costmap_app/stop_active,False
1786391901.016562,/cmd_vel,0.0000
1786391901.066049,/cmd_vel,0.0000
1786391901.089373,/costmap_app/stop_active,False
1786391901.108970,monitor_status,CLEAR|window_clear|FUSION_ACTIVE|depth_age=0.019
1786391901.114311,/cmd_vel,0.0000
1786391901.164922,/cmd_vel,0.0000
1786391901.164943,/costmap_app/obstacle_detected,False
1786391901.187927,/costmap_app/stop_active,False
1786391901.216030,/cmd_vel,0.0000
1786391901.264994,/cmd_vel,0.0000
1786391901.289804,/costmap_app/stop_active,False
1786391901.307849,monitor_status,CLEAR|window_clear|FUSION_ACTIVE|depth_age=0.019
1786391901.314235,/cmd_vel,0.0000
1786391901.362846,/costmap_app/obstacle_detected,False
1786391901.365857,/cmd_vel,0.0000
1786391901.388963,/costmap_app/stop_active,False
1786391901.415052,/cmd_vel,0.0000
1786391901.465467,/cmd_vel,0.0000
1786391901.488342,/costmap_app/stop_active,False
1786391901.509218,/costmap_app/obstacle_detected,False
1786391901.510031,monitor_status,CLEAR|window_clear|FUSION_ACTIVE|depth_age=0.008
1786391901.515408,/cmd_vel,0.0000
1786391901.567219,/cmd_vel,0.0000
1786391901.587710,/costmap_app/stop_active,False
1786391901.618694,/cmd_vel,0.0000
1786391901.659601,/costmap_app/obstacle_detected,False
1786391901.667579,/cmd_vel,0.0000
1786391901.688908,/costmap_app/stop_active,False
1786391901.707723,monitor_status,CLEAR|window_clear|FUSION_ACTIVE|depth_age=0.013
1786391901.716967,/cmd_vel,0.0000
