t_s,cmd_vel_linear_x
38.239,0.0000
38.290,0.0000
38.341,0.0000
38.390,0.0000
38.439,0.0000
38.492,0.0000
38.541,0.0000
38.590,0.0000
38.642,0.0000
38.693,0.0000
38.740,0.0000
38.790,0.0000
38.839,0.0000
38.892,0.0000
38.940,0.0000
38.997,0.0000
39.039,0.0000
39.090,0.0000
39.142,0.0000
39.189,0.0000
39.243,0.0000
39.291,0.0000
39.341,0.0000
39.391,0.0000
39.439,0.0000
39.489,0.0000
39.541,0.0000
39.591,0.0000
39.641,0.0000
39.693,0.0000
39.741,0.0000
39.789,0.0000
39.839,0.0000
39.889,0.0000
39.941,0.0000
39.990,0.0000
40.064,0.0000
40.097,0.0000
40.162,0.0000
40.194,0.0000
40.262,0.0000
40.295,0.0000
